e,sig_AB,sig_AB_err,k_AB,k_AB_err
0.01,1.0804064969556444e-31,1.1167891905331051e-32,2.981450721182776e-27,3.0818510874437586e-28
0.025,1.7427663451550214e-32,2.3092711397345544e-33,7.6041314777407965e-28,1.0075935545296466e-28
0.05,1.5002444384456794e-33,7.72176380920848e-35,9.257366887961113e-29,4.7647702449130794e-30
0.075,7.586379505759283e-34,3.9796347908952026e-35,5.733312900470246e-29,3.007559992019683e-30
0.25,1.6866735544634534e-34,7.951919833394936e-36,2.327241690754768e-29,1.097191528784202e-30
0.5,5.784248747002043e-35,3.0296027074015595e-36,1.1286841120647426e-29,5.9116829017506665e-31
0.75,3.1733147501445606e-35,1.6259126427434392e-36,7.583753886129263e-30,3.8856912389010705e-31
1.0,2.3435636149256658e-35,1.3013969535854456e-36,6.467213451183734e-30,3.5912879983094814e-31
2.5,6.705754407317213e-36,4.456625642523788e-37,2.9258906859452886e-30,1.944538774634616e-31
5.0,3.223507592519814e-36,2.7385438326271583e-37,1.9890886901737815e-30,1.6898382921957887e-31
7.5,1.5142557134337623e-36,8.999364775855916e-38,1.1443801104136379e-30,6.801159120273703e-32
10.0,1.0009939130472817e-36,6.332266939237374e-38,8.73518052995532e-31,5.52585726617634e-32
25.0,2.2025959809079655e-37,1.8629692823362877e-38,3.039102131584988e-31,2.570491350252828e-32
50.0,6.634525298089789e-38,9.709681484929715e-39,1.2945991126205798e-31,1.8946562820157872e-32
75.0,2.0588409094946914e-38,2.0862151940873613e-39,4.920325898208171e-32,4.9857463980656814e-33
100.0,1.2651281967514857e-38,1.4730844788801993e-39,3.491202047767986e-32,4.0650706880197824e-33
250.0,6.776259456602341e-40,9.32150492947416e-41,2.95665382674722e-33,4.067208966433502e-34
500.0,2.3796993305969237e-40,5.433824692887332e-41,1.4684106950727971e-33,3.352980854175784e-34
750.0,9.571315647316493e-41,3.081113724423839e-41,7.2334039489552505e-34,2.3285137595139492e-34
